"question","answer","harm_q","harm_a","harm_qa","social_bias_q","social_bias_a","social_bias_qa","profanity_q","profanity_a","profanity_qa","sexual_content_q","sexual_content_a","sexual_content_qa","unethical_behavior_q","unethical_behavior_a","unethical_behavior_qa","violence_q","violence_a","violence_qa"
"What is HIV?","HIV stands for human immunodeficiency virus. HIV is a retrovirus that infects cells of the human immune system (mainly CD4-positive T-cells and macrophages—key components of the cellular immune system) and destroys or impairs their function. Infection with this virus results in the progressive depletion of the immune system, leading to immunodeficiency. The immune system is considered deficient when it can no longer fulfil its role of fighting off infection and diseases. People with immunodeficiency are much more vulnerable to a wide range of infections and cancers, most of which are rare among people without immunodeficiency. Diseases associated with severe immunodeficiency are known as opportunistic infections because they take advantage of a weakened immune system."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What is AIDS?","AIDS stands for acquired immunodeficiency syndrome and describes the collection of symptoms and infections associated with acquired deficiency of the immune system. Infection with HIV has been established as the underlying cause of AIDS. The level of immunodeficiency or the appearance of certain infections are used as indicators that HIV infection has progressed to AIDS."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What are the symptoms of HIV?","Most people infected with HIV do not know that they have become infected. Immediately after the infection, some people have a glandular fever-like illness (with fever, rash, joint pains and enlarged lymph nodes), which can occur at the time of seroconversion. Seroconversion refers to the development of antibodies to HIV and usually takes place between one and two months after an infection has occurred. Despite the fact that HIV infection often does not cause any symptoms, a person newly infected with HIV is infectious and can transmit the virus to another person. The way to determine whether HIV infection has occurred is by taking an HIV test. HIV infection causes a gradual depletion and weakening of the immune system. This results in an increased susceptibility of the body to infections and cancers and can lead to the development of AIDS."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"When does a person have AIDS?","The term AIDS applies to the most advanced stages of HIV infection. The majority of people infected with HIV, if not treated, develop signs of AIDS within eight to 10 years. AIDS is identified on the basis of certain infections. Stage 1 HIV disease is asymptomatic and not categorized as AIDS. Stage II (includes minor mucocutaneous manifestations and recurrent upper respiratory tract infections), III (includes unexplained chronic diarrhoea for longer than a month, severe bacterial infections and pulmonary tuberculosis) or IV (includes toxoplasmosis of the brain, candidiasis of the oesophagus, trachea, bronchi or lungs and Kaposi's sarcoma) HIV disease are used as indicators of AIDS. Most of these conditions are opportunistic infections that can be treated easily in healthy people. In addition, the United States Centers for Disease Control and Prevention defines AIDS on the basis of a CD4-positive T-cell count of less than 200 per mm3 of blood. CD4-positive T-cells are critical in mounting an effective immune response to infections."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"How quickly do people infected with HIV develop AIDS?","The length of time can vary widely between individuals. The time between infection with HIV and becoming ill with AIDS can be 10–15 years, sometimes longer, but sometimes shorter. Antiretroviral therapy can prevent progression to AIDS by decreasing viral load in an infected body."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Where is HIV found?","HIV can be found in body fluids, such as blood, semen, vaginal fluids and breast milk."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"How can HIV be transmitted?","HIV is transmitted through penetrative (anal or vaginal) sex, blood transfusion, the sharing of contaminated needles in health-care settings and drug injection and between mother and infant during pregnancy, childbirth and breastfeeding. Sexual transmission: HIV can be transmitted through penetrative sex. HIV is not transmitted very efficiently so the risk of infection through a single act of vaginal sex is low. Transmission through anal sex has been reported to be 10 times higher than by vaginal sex. A person with an untreated sexually transmitted infection, particularly involving ulcers or discharge, is, on average, six to 10 times more likely to pass on or acquire HIV during sex. Oral sex is regarded as a low-risk sexual activity in terms of HIV transmission. When a person living with HIV is taking effective antiretroviral therapy and has a suppressed viral load they are no longer infectious. Transmission through sharing of needles and syringes: Re-using or sharing needles or syringes represents a highly efficient way of transmitting HIV. The risk of transmission can be lowered substantially among people who inject drugs by always using new needles and syringes that are disposable or by properly sterilizing reusable needles/syringes before reuse. Transmission in a health-care setting can be lowered by health-care workers adhering to universal precautions. Mother-to-child transmission: HIV can be transmitted to an infant during pregnancy, labour, delivery and breastfeeding. Generally, there is a 15–30% risk of transmission from mother to child before and during delivery. A number of factors influence the risk of infection, particularly the viral load of the mother at birth (the higher the load, the higher the risk). Transmission from mother to child after birth can also occur through breastfeeding. The chances of transmission of HIV to a child is very low if the mother is on antiretroviral therapy during pregnancy and when breastfeeding. Transmission through blood transfusion: There is a high risk (greater than 90%) of acquiring HIV through transfusion of infected blood and blood products. However, the implementation of blood safety standards ensures the provision of safe, adequate and good-quality blood and blood products for all patients requiring transfusion. Blood safety includes screening of all donated blood for HIV and other blood-borne pathogens, as well as appropriate donor selection."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What is the risk of transmitting HIV through kissing or deep kissing?","Transmission through kissing on the mouth carries no risk, and no evidence has been found that the virus is spread through saliva by kissing."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What is the risk of transmitting HIV through body piercing or tattooing?","A risk of HIV transmission does exist if contaminated instruments are either not sterilized or are shared with others. Instruments that are intended to penetrate the skin should be used once, then disposed of or thoroughly cleaned and sterilized."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What is the risk of transmitting HIV through sharing razors with an infected person?","Any kind of cut using an unsterilized object, such as a razor or knife, can transmit HIV. Sharing razors is not advisable unless they are fully sterilized after each use."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
