"question","answer","harm_q","harm_a","harm_qa","social_bias_q","social_bias_a","social_bias_qa","profanity_q","profanity_a","profanity_qa","sexual_content_q","sexual_content_a","sexual_content_qa","unethical_behavior_q","unethical_behavior_a","unethical_behavior_qa","violence_q","violence_a","violence_qa"
"What was John McCray's position in the Progressive Democratic Party in 1944?","John McCray was chairman in 1944."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did John McCray receive W. J. Hunter’s support for the Re-elect Truman Campaign?","Yes, W.J. Hunter contributed to the Re-elect Truman Campaign. "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did John McCray write to John Oscar Floyd on September 23, 1943?","No, John McCray wrote to John Oscar Floyd on October 3, 1944."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did John McCray apply to work with the S.C. Division of the Southern Regional Council?","Yes, he applied to work for the organization in the 1950s."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What year did John McCray resign as the editor of The Lighthouse and Informer?","John McCray resigned from his position as editor in 1953."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Was it necessary for John McCray to organize the Progressive Democratic Party?","Yes, John McCray helped create the PDP because Black people were not allowed to join the State Democratic Party. "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Why did Richard J. Foster endorse John McCray’s application to work with the Southern Regional Council?","Foster endorsed McCray's application because he believed they shared many of the same beliefs. "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did John McCray enjoy working for The Lighthouse and Informer?","McCray was dedicated to working at The Lighthouse and Informer for 15 years but ultimately left do to conflicts within the organization."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did John McCray have any enemies?","McCray's collection reflects that he had several conflicts with people who disagreed with his journalism and political activism."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"According to John McCray, were Black voters in Marion County being discriminated against?","Black residents in Marion County frequently had their voting rights denied."," no "," no "," no "," yes "," yes "," yes "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"When was the NAACP founded?","February 12, 1909."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Where was the NAACP organized?","New York City"," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did the NAACP publish a magazine?","Yes, the NAACP published The Crisis magazine."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Were there white members of the NAACP?","Yes, the NAACP had a number of white supporters with paid memberships for the organization."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Was Benjamin (Ben) Hooks a secretary for the NAACP?","No, Benjamin Hooks was the executive director of the NAACP."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What was the relationship like between the SC State Conference of NAACP Branches and the National Office of the NAACP?","The National Office supported SC NAACP chapters by providing resources to argue local civil rights cases. "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Was the SC State Conference of the NAACP successful in the fight for civil rights in the 1940s and 50s?","While not all SC NAACP cases led to desegration or equal rights, many of the oranization's efforts did improve living conditions for Black people in South Carolina."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Why was Sarah Mae Flemming's city bus lawsuit significant?","Flemming's case was the precedent and inspiration for Rosa Park's bus protest which led to the Mongomery Bus Boycott and eventual desegregation of public buses."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"What challenges did NAACP chapters face in South Carolina?","In addition to losing some early civil rights cases, members of the NAACP and their associates were often targets of retaliation for their political efforts."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Was the NAACP established as a religious organization?","No, the NAACP was not a religious organization but many of its most notable members had strong religious affiliations."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"When was The Lighthouse and Informer established?","Though established in 1938, The Charleston Lighthouse was first published in 1939. This paper later joined with the People's Informer to become The Lighthouse and Informer in the early 1940s."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Where was The Lighthouse and Informer published?","The paper was first published in Charleston, and later moved to Columbia, SC."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Was Peter Kelly the editor of The Lighthouse and Informer?","No, John McCray was the editor of the newspaper from 1938 to 1954."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Did J.C. Parler write to John McCray about articles in The Lighthouse and Informer?","J.C. Parler wrote to John McCray to praise the articles McCray was writing in the newspaper."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"How much did a six-month subscription to The Lighthouse and Informer cost in 1946?","A six-month subscription was $1.75."," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Why was The Lighthouse and Informer created?","The newspaper was created to: + Circulate injustices experienced by the Black population + Give Black residents of South Carolina a political voice + Establish further community among Black southerners"," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"How was The Lighthouse and Informer publication connected to the work of the NAACP?","The newspaper: + Documented the work of SC NAACP Chapters + Was credited with making South Carolina the model for other NAACP state chapters"," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"How did The Lighthouse and Informer impact John McCray's career?","Through the newspaper, McCray: + Established himself as a top journalist and editor + Solidified his political career  + Helped establish the Progressive Democratic Party + Championed social justice, Black political participation, and racial equality"," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
"Why did The Lighthouse and Informer cease publication?","By the time the newspaper closed in 1954: + John McCray had left the paper + The paper had gone bankrupt"," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "," no "
